first_log
val -> epoch: 0, loss: 0.17750421553771123, accuracy: 0.870026525198939, precision: 0.8207506988918402, recall: 0.8993665210725752, f1: 0.8435870080606922
val -> epoch: 1, loss: 0.2017704302578453, accuracy: 0.8713527851458885, precision: 0.82165991902834, recall: 0.898349290831429, f1: 0.844568130282416
val -> epoch: 2, loss: 0.13712030220332133, accuracy: 0.883289124668435, precision: 0.835023664638269, recall: 0.9156518469237221, f1: 0.8591766913144244
val -> epoch: 4, loss: 0.1482892140390386, accuracy: 0.9204244031830239, precision: 0.8778474800495029, recall: 0.9268558425655415, f1: 0.8979241877256319
val -> epoch: 6, loss: 0.1663631277198382, accuracy: 0.9257294429708223, precision: 0.8851447555766492, recall: 0.9303462439617021, f1: 0.9041130731778213
val -> epoch: 10, loss: 0.1833972768062622, accuracy: 0.9376657824933687, precision: 0.9006387941237903, recall: 0.9438691388736224, f1: 0.9191273291571104
val -> epoch: 11, loss: 0.2077255767006773, accuracy: 0.9442970822281167, precision: 0.9166828295142833, recall: 0.9350033264875184, f1: 0.9253317488611605
val -> epoch: 16, loss: 0.12896731263150113, accuracy: 0.9482758620689655, precision: 0.91594323577351, recall: 0.9527397722561299, f1: 0.9322172202283399
val -> epoch: 18, loss: 0.377692563978051, accuracy: 0.9628647214854111, precision: 0.9522368768909908, recall: 0.945329900783894, f1: 0.9487199417051251
val -> epoch: 33, loss: 0.31502993184015826, accuracy: 0.9655172413793104, precision: 0.9543065338838961, recall: 0.950854762662347, f1: 0.9525648470770423
val -> epoch: 37, loss: 0.3267326094407776, accuracy: 0.96684350132626, precision: 0.95534262485482, recall: 0.9536171936015736, f1: 0.954475966449874
val -> epoch: 37, loss: 0.3267326094407776, accuracy: 0.96684350132626, precision: 0.95534262485482, recall: 0.9536171936015736, f1: 0.954475966449874
