first_log
val -> epoch: 0, loss: 0.1479802131546547, accuracy: 0.8359486447931527, precision: 0.8001859987543976, recall: 0.8889670439922354, f1: 0.8141659424482655
val -> epoch: 2, loss: 0.15168378426668136, accuracy: 0.8887303851640513, precision: 0.8445666880296233, recall: 0.9221466117036359, f1: 0.8677870200212787
val -> epoch: 3, loss: 0.13110002996492998, accuracy: 0.9158345221112696, precision: 0.8740171280244037, recall: 0.9305491940936552, f1: 0.8956995185821247
val -> epoch: 6, loss: 0.11066140962522822, accuracy: 0.9243937232524965, precision: 0.8837528280542987, recall: 0.9439409801740496, f1: 0.9065956029313791
val -> epoch: 8, loss: 0.08640457640871002, accuracy: 0.9372325249643366, precision: 0.900688585006304, recall: 0.9505550829898144, f1: 0.9210973313686968
val -> epoch: 11, loss: 0.08981801446171188, accuracy: 0.9457917261055635, precision: 0.9108864319658616, recall: 0.9620220724552335, f1: 0.9318567861820564
val -> epoch: 12, loss: 0.08313748747450479, accuracy: 0.9543509272467903, precision: 0.9237385662413937, recall: 0.9657898754607517, f1: 0.9418522666003069
val -> epoch: 13, loss: 0.09502442912085675, accuracy: 0.9614835948644793, precision: 0.9385850694444444, recall: 0.9628345220179284, f1: 0.9498166546027251
val -> epoch: 17, loss: 0.24678378087201405, accuracy: 0.9629101283880172, precision: 0.9473489161492685, recall: 0.9541593055464678, f1: 0.9506872294372295
val -> epoch: 21, loss: 0.1384991138479998, accuracy: 0.9643366619115549, precision: 0.9433612850870805, recall: 0.9647320552247596, f1: 0.9533662763004889
val -> epoch: 22, loss: 0.13364775279555444, accuracy: 0.9686162624821684, precision: 0.952047470833598, recall: 0.965653558420031, f1: 0.9585848712054483
val -> epoch: 24, loss: 0.1502876442069249, accuracy: 0.9700427960057061, precision: 0.9545951976200595, recall: 0.9666023250234466, f1: 0.9603938819161386
val -> epoch: 28, loss: 0.17121911453303698, accuracy: 0.9714693295292439, precision: 0.9571710386009811, recall: 0.9675510916268621, f1: 0.962209427696554
val -> epoch: 43, loss: 0.21376289887408456, accuracy: 0.9728958630527818, precision: 0.9597754660844624, recall: 0.9684998582302776, f1: 0.964031574654939
val -> epoch: 43, loss: 0.21376289887408456, accuracy: 0.9728958630527818, precision: 0.9597754660844624, recall: 0.9684998582302776, f1: 0.964031574654939
